Rupture Index,Magnitude,Average Rake (degrees),Area (m^2),Length (m)
15423,9.198004327115909,0.0,1.2531699837074434E11,834477.8093342477
15424,9.213194123172425,0.0,1.2977761747674222E11,864175.1647125756
15425,9.227867148453743,0.0,1.342371856754834E11,893864.641328816
15426,9.242058195297233,0.0,1.3869598878182336E11,923550.5499357501
15427,9.255798504829848,0.0,1.4315424335323108E11,953234.4062198965
15428,9.269115449034446,0.0,1.4761183694341833E11,982914.5401100579
15429,9.282034098074703,0.0,1.5206870522085904E11,1012589.2598585619
15430,9.29457730583556,0.0,1.5652476840240768E11,1042257.7424140724
15431,9.306766095696442,0.0,1.6097998153912866E11,1071919.0038214743
15432,9.318620305502133,0.0,1.6543450495911612E11,1101575.3509677777
15433,9.330157742374578,0.0,1.6988832946304846E11,1131227.5656438102
15434,9.341394746278148,0.0,1.7434141329300983E11,1160874.7604359528
15435,9.35234609249514,0.0,1.7879358009968405E11,1190514.9243837425
15436,9.363025780288428,0.0,1.8324478350430478E11,1220147.7756517597
15437,9.373446791570148,0.0,1.8769497385055408E11,1249773.1168265492
15438,9.383622618235794,0.0,1.921447315966798E11,1279396.8112090307
15439,9.393560372470223,0.0,1.965921835145143E11,1309001.067829426
15440,9.403264611636214,0.0,2.0103445471081677E11,1338555.4449003597
15441,9.41275418933649,0.0,2.0547551825041608E11,1368104.4276172386
15442,9.422044664943783,0.0,2.0991843040458054E11,1397673.3259194205
15443,9.43114495109344,0.0,2.1436351348999637E11,1427261.1152303463
15444,9.440059807350282,0.0,2.1880927785270828E11,1456855.4889836507
15445,9.443570629705867,0.0,2.2058529581656418E11,1486444.6220790318
15446,8.865498312279389,0.0,5.827786058656584E10,358179.9354804234
15447,8.8976461138362,0.0,6.2755448454746124E10,387996.88570083806
15448,8.927571492431518,0.0,6.723212670953501E10,417806.79088714934
15449,8.95556190936641,0.0,7.170794838645985E10,447611.46648745413
15450,8.981853793444541,0.0,7.618319993870445E10,477412.91038903
15451,9.006641238737817,0.0,8.06578577837001E10,507209.30460750003
15452,9.030085541144603,0.0,8.513164232158638E10,536999.864433823
15453,9.052324029384211,0.0,8.960443889258977E10,566782.5558931262
15454,9.073473864489468,0.0,9.407611691740921E10,596558.146983644
15455,9.093636024493698,0.0,9.854658195307289E10,626327.6783177053
15456,9.112899125663843,0.0,1.0301600128399504E11,656093.9217731776
15457,9.13133897907922,0.0,1.0748418356773965E11,685853.1006019345
15458,9.149022760041126,0.0,1.1195109932178761E11,715600.8968886608
15459,9.16600906741711,0.0,1.164165403352765E11,745333.3911513176
15460,9.18235123267992,0.0,1.2088067381283551E11,775054.159814584
15461,9.198097405602748,0.0,1.2534385936037152E11,804769.2905913312
15462,9.213289017154569,0.0,1.2980597720644185E11,834477.8093342477
15463,9.227962289483958,0.0,1.3426659631243973E11,864175.1647125756
15464,9.242152673247906,0.0,1.387261645111809E11,893864.641328816
15465,9.2558917045257,0.0,1.4318496761752084E11,923550.5499357501
15466,9.269207778858734,0.0,1.4764322218892856E11,953234.4062198965
15467,9.282125793145227,0.0,1.521008157791158E11,982914.5401100579
15468,9.294668624087628,0.0,1.5655768405655652E11,1012589.2598585619
15469,9.306857179709667,0.0,1.6101374723810516E11,1042257.7424140724
15470,9.318710747470455,0.0,1.6546896037482614E11,1071919.0038214743
15471,9.330247599847558,0.0,1.699234837948136E11,1101575.3509677777
15472,9.341484153497841,0.0,1.7437730829874594E11,1131227.5656438102
15473,9.352435500614453,0.0,1.788303921287073E11,1160874.7604359528
15474,9.365224236159523,0.0,1.841747455760301E11,1190514.9243837425
15475,9.37764452705556,0.0,1.895179645081465E11,1220147.7756517597
15476,9.389716778618293,0.0,1.948599775675749E11,1249773.1168265492
15477,9.401461340318985,0.0,2.0020145199550757E11,1279396.8112090307
15478,9.412891299630926,0.0,2.055403988531228E11,1309001.067829426
15479,9.42401683594111,0.0,2.108738579731539E11,1338555.4449003597
15480,9.433068210151587,0.0,2.153149215127532E11,1368104.4276172386
15481,9.44193843769131,0.0,2.1975783366691766E11,1397673.3259194205
15482,9.45063532102381,0.0,2.242029167523335E11,1427261.1152303463
15483,9.459162753980433,0.0,2.286486811150454E11,1456855.4889836507
15484,9.462523078612415,0.0,2.304246990789013E11,1486444.6220790318
15485,7.353866799854341,0.0,1.7941981743178754E9,59806.60121739584
15486,7.529866974520911,0.0,2.6907340860542784E9,89691.1356658717
15487,7.654719795062273,0.0,3.5869369219938784E9,119564.56628727893
15488,7.751563990873985,0.0,4.482992814242161E9,149433.09124935756
15489,7.95585226784608,0.0,7.175572328253874E9,119564.56628727893
15490,8.05270971936457,0.0,8.9683821452197E9,149433.09124935756
15491,8.131852641209026,0.0,1.0761111097125994E10,179301.12777013486
15492,8.198772113957567,0.0,1.2553842105358234E10,209171.5347176282
15493,8.256737967409109,0.0,1.4346388251590458E10,239040.3831707186
15494,8.307863092769336,0.0,1.6138670765256195E10,268905.401872458
15495,8.353585445249855,0.0,1.7930407721014435E10,298760.103283033
15496,8.308038120526554,0.0,1.6145176230744495E10,179301.12777013486
15497,8.374958482210058,0.0,1.8834895969280724E10,209171.5347176282
15498,8.432924084567407,0.0,2.1524292862534313E10,239040.3831707186
15499,8.484049394667224,0.0,2.421331540991377E10,268905.401872458
15500,8.529772588417208,0.0,2.690156239584624E10,298760.103283033
15501,8.571127080742064,0.0,2.9589119513988026E10,328605.76212387875
15502,8.608877089074063,0.0,3.227617728217561E10,358445.077607772
15503,8.643601537726571,0.0,3.496283007159249E10,388279.986525516
15504,8.675747488045761,0.0,3.764892371889119E10,418108.3289367072
15505,8.705671646405705,0.0,4.0334507366689995E10,447931.05124132574
15506,8.557942680096687,0.0,2.8704344043006668E10,239040.3831707186
15507,8.60906948446208,0.0,3.229047903017456E10,268905.401872458
15508,8.654794547025752,0.0,3.5875635355175224E10,298760.103283033
15509,8.696150841446572,0.0,3.945989646805223E10,328605.76212387875
15510,8.733902268114722,0.0,4.304348335777964E10,358445.077607772
15511,8.768628223706333,0.0,4.662656308544011E10,388279.986525516
15512,8.800775875815106,0.0,5.0208944528304565E10,418108.3289367072
15513,8.830701347688803,0.0,5.379062581222474E10,447931.05124132574
15514,8.85869345361793,0.0,5.737183410906692E10,477750.4211794544
15515,8.884986927668454,0.0,6.095260021755761E10,507566.0917431391
15516,8.909774283038729,0.0,6.453266790974223E10,537375.5037488551
15517,8.933218166964878,0.0,6.81119838757729E10,567178.4321756877
15518,8.955455582432716,0.0,7.169039448746744E10,596973.2910810777
15519,8.705995694882464,0.0,4.036461419087273E10,298760.103283033
15520,8.742942613593396,0.0,4.394887530374973E10,328605.76212387875
15521,8.776985121743497,0.0,4.753246219347714E10,358445.077607772
15522,8.808547744775645,0.0,5.111554192113761E10,388279.986525516
15523,8.837965581060903,0.0,5.469792336400207E10,418108.3289367072
15524,8.86551130905109,0.0,5.827960464792224E10,447931.05124132574
15525,8.891410306325705,0.0,6.186081294476442E10,477750.4211794544
15526,8.915848426186855,0.0,6.544157905325511E10,507566.0917431391
15527,8.938979947196074,0.0,6.902164674543973E10,537375.5037488551
15528,8.960936985804274,0.0,7.260096271147041E10,567178.4321756877
15529,8.981831978688675,0.0,7.617937332316495E10,596973.2910810777
