Rupture Index,Magnitude,Average Rake (degrees),Area (m^2),Length (m)
17769,8.676787242177959,0.0,6.711082815626575E10,446907.1268115779
17770,8.704763670581777,0.0,7.157626916975462E10,476639.6210742347
17771,8.731038991744875,0.0,7.604040264731364E10,506360.3897375011
17772,8.755809794506515,0.0,8.050358819484969E10,536075.5205142483
17773,8.77923820102284,0.0,8.496570604092E10,565784.0392571648
17774,8.801459890117433,0.0,8.942632514691786E10,595481.3946354927
17775,8.822594825326627,0.0,9.388589334565903E10,625170.871251733
17776,8.84274540411436,0.0,9.834469645199898E10,654856.7798586672
17777,8.86200002009672,0.0,1.0280295102340671E11,684540.6361428136
17778,8.880434415862357,0.0,1.0726054461359393E11,714220.770032975
17779,8.898115268408253,0.0,1.1171741289103467E11,743895.489781479
17780,8.9151013638883,0.0,1.1617347607258331E11,773563.9723369895
17781,8.931444970166963,0.0,1.2062868920930424E11,803225.2337443912
17782,8.947193371135523,0.0,1.2508321262929176E11,832881.5808906946
17783,8.962388286496193,0.0,1.2953703713322409E11,862533.7955667272
17784,8.977067090071527,0.0,1.3399012096318553E11,892180.9903588699
17785,8.991263062561053,0.0,1.3844228776985977E11,921821.1543066597
17786,9.005006726924163,0.0,1.428934911744804E11,951454.0055746768
17787,9.01832578201053,0.0,1.473436815207297E11,981079.3467494663
17788,9.03124725188739,0.0,1.5179343926685547E11,1010703.0411319478
17789,9.043788944310139,0.0,1.5624089118469E11,1040307.2977523431
17790,9.055964593761963,0.0,1.6068316238099246E11,1069861.674823277
17791,9.06780500491108,0.0,1.6512422592059167E11,1099410.6575401558
17792,9.079335887682255,0.0,1.6956713807475626E11,1128979.5558423377
17793,9.090573935489594,0.0,1.7401222116017212E11,1158567.3451532635
17794,9.101530159029581,0.0,1.7845798552288406E11,1188161.718906568
17795,9.10583089767178,0.0,1.8023400348673987E11,1217750.852001949
17796,8.994052875749821,0.0,1.3933447441050833E11,921821.1543066597
17797,9.010395849903476,0.0,1.4467769334262466E11,951454.0055746768
17798,9.02614256761144,0.0,1.5001970640205304E11,981079.3467494663
17799,9.041336753017857,0.0,1.5536118082998575E11,1010703.0411319478
17800,9.056010445124512,0.0,1.60700127687601E11,1040307.2977523431
17801,9.070190157575842,0.0,1.660335868076321E11,1069861.674823277
17802,9.081654003184681,0.0,1.7047465034723132E11,1099410.6575401558
17803,9.092827599196015,0.0,1.749175625013959E11,1128979.5558423377
17804,9.103726171449038,0.0,1.7936264558681177E11,1158567.3451532635
17805,9.11435953670387,0.0,1.838084099495237E11,1188161.718906568
17806,9.118535686373908,0.0,1.8558442791337952E11,1217750.852001949
17807,7.103094592233351,0.0,1.7910107886360226E9,59700.36025142075
17808,7.279132994516337,0.0,2.6861904426343923E9,89539.67573531403
17809,7.4040291938645435,0.0,3.581237615903688E9,119374.58465305803
17810,7.500894554031185,0.0,4.476087886346477E9,149202.92706424923
17811,7.7051809567665615,0.0,7.16448923673892E9,119374.58465305803
17812,7.802047981819255,0.0,8.954727348945295E9,149202.92706424923
17813,7.881186694389722,0.0,1.0744622644400742E10,179025.64936886774
17814,7.948096112150477,0.0,1.2534316579811646E10,208845.01930699643
17815,8.006053302710978,0.0,1.4323788982229548E10,238660.6898706811
17816,8.057168691235688,0.0,1.6112886934075342E10,268470.1018763971
17817,8.102887238371382,0.0,1.79016044771316E10,298273.0303032297
17818,8.05739248057497,0.0,1.6121191956776232E10,179025.64936886774
17819,8.124301979075383,0.0,1.880644559462168E10,208845.01930699643
17820,8.182259478988867,0.0,2.1491379156600662E10,238660.6898706811
17821,8.233375541070552,0.0,2.417577499251729E10,268470.1018763971
17822,8.279094719983403,0.0,2.685960580481687E10,298273.0303032297
17823,8.320446101938865,0.0,2.954275973453984E10,328067.8892086196
17824,8.358189949827675,0.0,3.2225150346031555E10,357855.8385422355
17825,8.39290575057504,0.0,3.4906860587045944E10,387638.21333227865
17826,8.425042160821613,0.0,3.758782856448214E10,417413.4262847294
17827,8.45495543466435,0.0,4.026804492275876E10,447178.38184764446
17828,8.307303381994643,0.0,2.8662121187383064E10,238660.6898706811
17829,8.358419515159353,0.0,3.224218887956769E10,268470.1018763971
17830,8.404138773031782,0.0,3.582150484559836E10,298273.0303032297
